第零層,id,第一層,id,第二層,id,法規名稱,id,英文版,廢止
憲法,01000000,,,,,,,,
,,,,,,中華民國憲法,A0000001,,
,,,,,,中華民國憲法增修條文,A0000002,,
,,,,,,民國八十八年九月二十五日總統緊急命令（九二一震災）,A0000012,,
,,,,,,全國戒嚴令,A0000015,,
,,,,,,宣告動員戡亂時期終止,A0000017,,
,,,,,,訓政結束程序法,A0000004,,
,,,,,,臺灣地區解嚴令,A0000016,,
,,,,,,憲法實施之準備程序,A0000003,,
國民大會（憲法國民大會章條文已停止適用）,02000000,,,,,,,,
,,,,,,國民大會人民請願案件處理辦法?(民國 88 年 06 月 16 日 ),A0020025,,
,,,,,,國民大會主席團擔任大會主席辦法?(民國 81 年 12 月 29 日 ),A0020007,,
,,,,,,國民大會主席團選舉投票及開票辦法?(民國 81 年 03 月 21 日 ),A0020012,,
,,,,,,國民大會主席團選舉辦法?(民國 81 年 12 月 29 日 ),A0020006,,
,,,,,,國民大會代表一般提案及人民請願案件專案處理小組設置辦法?(民國 88 年 06 月 16 日 ),A0020026,,
,,,,,,國民大會代表互選議長副議長投票及開票辦法?(民國 84 年 08 月 15 日 ),A0020017,,
,,,,,,國民大會代表互選議長副議長辦法?(民國 88 年 06 月 15 日 ),A0020016,,
,,,,,,國民大會代表資格審查委員會組織規程?(民國 81 年 04 月 02 日 ),A0010002,,
,,,,,,國民大會同意權行使法?(民國 81 年 11 月 04 日 ),A0020002,,
,,,,,,國民大會同意權行使辦法?(民國 88 年 06 月 15 日 ),A0020027,,
,,,,,,國民大會行使同意權投票及開票辦法?(民國 88 年 06 月 15 日 ),A0020014,,
,,,,,,國民大會行使同意權審查會召集人選舉辦法?(民國 81 年 12 月 24 日 ),A0020013,,
,,,,,,國民大會行使同意權審查會審查辦法?(民國 82 年 01 月 08 日 ),A0020010,,
,,,,,,國民大會法規研修專案小組設置辦法?(民國 88 年 06 月 16 日 ),A0010011,,
,,,,,,國民大會宣言起草委員會組織規程?(民國 79 年 03 月 03 日 ),A0010007,,
,,,,,,國民大會紀律委員會組織規程?(民國 85 年 07 月 09 日 ),A0010004,,
,,,,,,國民大會修憲審查委員會組織規程?(民國 88 年 06 月 15 日 ),A0010009,,
,,,,,,國民大會旁聽規則?(民國 83 年 05 月 10 日 ),A0020008,,
,,,,,,國民大會特種審查委員會設置辦法?(民國 80 年 04 月 11 日 ),A0010006,,
,,,,,,國民大會秘書處組織規程?(民國 67 年 03 月 18 日 ),A0010005,,
,,,,,,國民大會秘書處處務規程?(民國 73 年 02 月 28 日 ),A0020009,,
,,,,,,國民大會秘密會議實施辦法?(民國 87 年 07 月 30 日 ),A0020022,,
,,,,,,國民大會採訪規則?(民國 87 年 07 月 30 日 ),A0020024,,
,,,,,,國民大會組織法?(民國 94 年 05 月 27 日 ),A0010001,,
,,,,,,國民大會創制複決兩權行使辦法?(民國 55 年 08 月 08 日 ),A0020015,,
,,,,,,國民大會提案審查委員會組織規程?(民國 81 年 04 月 02 日 ),A0010003,,
,,,,,,國民大會程序委員會組織規程?(民國 87 年 07 月 28 日 ),A0010008,,
,,,,,,國民大會補選副總統投票及開票辦法?(民國 88 年 06 月 15 日 ),A0020019,,
,,,,,,國民大會補選副總統辦法?(民國 87 年 07 月 30 日 ),A0010018,,
,,,,,,國民大會憲政改革研究小組設置辦法?(民國 86 年 07 月 22 日 ),A0010010,,
,,,,,,國民大會憲政論壇實施辦法?(民國 86 年 05 月 07 日 ),A0020021,,
,,,,,,國民大會職權行使法?(民國 94 年 05 月 27 日 ),D0020056,,
,,,,,,國民大會議決總統副總統彈劾案辦法?(民國 87 年 07 月 30 日 ),A0020020,,
,,,,,,國民大會議事規則?(民國 89 年 04 月 14 日 ),A0020005,,
,,,,,,國民大會聽取總統國情報告並檢討國是提供建言辦法?(民國 87 年 07 月 28 日 ),A0020011,,
,,,,,,國民大會聽證會實施辦法?(民國 87 年 07 月 30 日 ),A0020023,,
,,,,,,總統副總統選舉投票及開票辦法?(民國 67 年 03 月 01 日 ),A0020004,,
總統,,,,,,,,,
,,總統府,,,,,,,
,,,,組織目,03001001,,,,
,,,,,,中央研究院研究中心組織規程,A0010031,,
,,,,,,中央研究院研究所組織規程,A0010019,,
,,,,,,中央研究院組織法,A0010016,,
,,,,,,中央研究院處務規程,A0020033,,
,,,,,,中央研究院總辦事處辦事細則,A0020032,,
,,,,,,中華民國總統府組織法,A0010012,,
,,,,,,中華民國總統府處務規程,A0020038,,
,,,,,,國父陵園管理委員會組織條例,A0010018,,
,,,,,,國史館史料審查委員會組織規程,A0010020,,
,,,,,,國史館組織條例,A0010017,,
,,,,,,國史館臺灣文獻館組織條例,A0010026,,
,,,,,,國史館辦事細則,A0020042,,
,,,,,,總統府及所屬機關訴願審議委員會組織規程,A0010027,,
,,,,,,總統府法規委員會組織規程,A0010101,,
,,,,中央研究院目,03001002,,,,
,,,,,,中央研究院名譽院士選舉辦法,A0020183,,
,,,,,,中央研究院科學技術研究發展成果歸屬及運用辦法,A0020170,,
,,,,,,中央研究院科學研究基金收支保管及運用辦法,A0020174,,
,,,,,,中央研究院院士選舉辦法,A0020031,,
,,,,,,中央研究院設置訪問研究學人辦法,A0030014,,
,,,,,,中央研究院評議會會議規則,A0020028,,
,,,,,,中央研究院聘任評議員選舉辦法,A0020029,,
,,,,,,中央研究院運作毒性化學物質管理辦法,A0020168,,
,,,,國史館目,03001003,,,,
,,,,,,私人或團體移轉總統副總統文物作業細則,A0030017,,
,,,,,,國史館及所屬機關公務人員交代條例施行細則,A0020173,,
,,,,,,國史館史料複印規則,A0020043,,
,,,,,,國史館史料翻拍複製規則,A0020045,,
,,,,,,國史館提供政府資訊收費標準,A0020144,,
,,,,,,國史館微捲閱讀機使用規則,A0020044,,
,,,,,,國史館臺灣文獻館古文書閱覽複製辦法,A0020179,,
,,,,,,國史館臺灣文獻館提供政府資訊收費標準,A0020145,,
,,,,,,總統副總統文物管理條例,A0030015,,
,,,,,,總統副總統文物管理條例施行細則,A0030016,,
,,,,資政國策顧問目,03001004,,,,
,,,,,,總統府資政國策顧問遴聘辦法,A0030239,,
,,,,資訊公開目,03001005,,,,
,,,,,,總統府提供政府資訊收費標準,A0020132,,
,,,,訴願審議目,03001006,,,,
,,國家安全會議,,,,,,,
,,,,組織目,03002001,,,,
,,,,,,國家安全局組織法,A0010022,,
,,,,,,國家安全局處務規程,A0020146,,
,,,,,,國家安全會議組織法,A0010021,,
,,,,,,國家安全會議處務規程,A0010103,,
,,,,,,國家安全會議訴願審議委員會組織規程,A0010024,,
,,,,議事目,03002002,,,,
,,,,,,國家安全會議議事規則,A0020034,,
,,,,情報工作目,03002003,,,,
,,,,,,政府各機關協助國家情報工作應配合事項辦法,A0020154,,
,,,,,,政府機關密碼統合辦法,A0020123,,
,,,,,,國家安全局涉及國家安全人員申請出國許可辦法,A0020138,,
,,,,,,國家安全情報工作統合辦法,A0010029,,
,,,,,,國家情報工作人員安全查核辦法,A0020124,,
,,,,,,國家情報工作法,A0020041,,
,,,,,,國家情報工作掩護機構服務人員管理及監督辦法,A0020125,,
,,,,,,國家情報工作掩護機構設置及管理辦法,A0020137,,
,,,,,,國家情報工作督察作業辦法,A0020142,,
,,,,,,國家情報工作獎勵辦法,A0020150,,
,,,,,,國家情報研析報告分發及管理辦法,A0020141,,
,,,,,,國家情報專業獎章頒給辦法,A0020126,,
,,,,,,情報人員喪失人身自由補償及救助辦法,A0020147,,
,,,,,,情報人員醫療費補助與慰撫金及撫卹金之基準與發給辦法,A0020149,,
,,,,,,情報協助人員補償及救助辦法,A0020148,,
,,,,,,情報機關反制間諜工作辦法,A0020128,,
,,,,,,情報機關派遣駐外或各省（市）縣（市）情報人員待遇支給標準,A0020169,,
,,,,,,情資彙送作業辦法,A0020182,,
,,,,特種勤務目,03002004,,,,
,,,,,,政府各機關協助特種勤務應配合事項辦法,A0030269,,
,,,,,,特勤人員及特勤編組人員因執行特種勤務致傷殘死亡慰助金支給標準,A0030272,,
,,,,,,特勤人員及特勤編組人員執行勤務遭受暴力或意外危害致全殘廢或半殘廢及殉職人員子女教養辦法,A0030274,,
,,,,,,特勤人員職務輪調及回任辦法,A0030276,,
,,,,,,特種勤務專業獎章頒給辦法,A0030273,,
,,,,,,特種勤務條例,A0030246,,
,,,,,,特種勤務條例施行細則,A0030270,,
,,,,,,特種勤務獎勵標準及辦法,A0030275,,
,,,,,,國家安全局特種勤務實施辦法,A0010025,,
,,,,,,總統副總統候選人安全維護實施辦法,A0030211,,
,,,,訴願審議目,03002005,,,,
,,,,,,國家安全會議訴願審議委員會審議規則,A0020035,,
,,,,資訊公開目,03002006,,,,
,,,,,,國家安全局提供政府資訊收費標準,A0020130,,
行政,,,,,,,,,
,,院本部,,,,,,,
,,,,組織目,04001001,,,,
,,,,,,行政院公民投票審議委員會組織規程,D0000132,,
,,,,,,行政院公民投票審議委員會審議規則,D0020052,,
,,,,,,行政院公務人員交代條例施行細則,A0030281,,
,,,,,,行政院組織法,A0010032,,
,,,,,,行政院處務規程,A0020155,,
,,,,,,行政院會議議事規則,A0020046,,
,,,,,,桃園市政府組織規程,A0010108,,
,,,,,,桃園市議會組織規程,A0010109,,
,,,,,,消費者保護官任用及職掌辦法,J0170006,,
,,,,,,高雄市政府組織規程（99.10.08訂定）,A0010092,,
,,,,,,新北市政府組織規程,A0010098,,
,,,,通用目,04001002,,,,
,,,,,,千禧年資訊年序爭議處理法,A0030116,,
,,,,,,中央法規標準法,A0030133,,
,,,,,,公文程式條例,A0030018,,
,,,,,,行政院及各級行政機關訴願文書使用收費標準,A0030118,,
,,,,,,行政院及各級行政機關訴願審議委員會組織規程,A0030021,,
,,,,,,行政院及各級行政機關訴願審議委員會審議規則,A0030022,,
,,,,,,行政院消費者保護委員會提供政府資訊收費標準,J0170011,,
,,,,,,行政院院本部提供政府資訊收費標準,A0020131,,
,,,,,,行政院聘任人員辦法,A0030051,,
,,,,,,消除對婦女一切形式歧視公約施行法,D0050175,,
,,,,,,國家安全法,A0030028,,
,,,,,,訴願扣除在途期間辦法,A0030119,,
,,,,,,訴願法,A0030020,,
,,,,,,請願法,A0030019,,
,,,,,,機關公文傳真作業辦法,A0030031,,
,,,,,,機關保防工作人員考核獎懲辦法,S0060003,,
,,,,基金管理目,04001003,,,,
,,,,,,國家金融安定基金設置及管理條例,G0300040,,
,,,,消費者保護目,04001004,,,,
,,,,,,行政院消費者保護委員會志願服務獎勵辦法,J0170009,,
,,,,,,消費爭議調解辦法,J0170008,,
,,,,,,消費者保護公益信託許可及監督辦法,J0170010,,
,,,,,,消費者保護法,J0170001,,
,,,,,,消費者保護法施行細則,J0170002,,
,,,,,,消費者保護團體評定辦法,J0170007,,
,,外交部,,,,,,,
,,,,組織目,04003001,,,,
,,,,,,中華民國常駐世界貿易組織代表團組織規程,E0000014,,
,,,,,,北美事務協調委員會暫行組織規程,E0000018,,
,,,,,,北美事務協調委員會辦事細則,E0010025,,
,,,,,,外交部外交及國際事務學院組織法,E0000016,,
,,,,,,外交部外交及國際事務學院處務規程,E0010024,,
,,,,,,外交部外交領事人員講習所組織條例,E0000002,,
,,,,,,外交部所屬駐外各機構首長交代規則,E0010003,,
,,,,,,外交部組織法,E0000001,,
,,,,,,外交部處務規程,E0010001,,
,,,,,,外交部與所屬各機關（構）及駐外機構公務人員交代條例施行細則,E0010026,,
,,,,,,外交部領事事務局組織法,E0000015,,
,,,,,,外交部領事事務局組織條例,E0000004,,
,,,,,,外交部領事事務局處務規程,E0010023,,
,,,,,,外交部駐外代表機構組織規程,E0000013,,
,,,,,,國際合作發展基金會設置條例,E0000012,,
,,,,,,駐外外交領事人員任用條例,S0020007,,
,,,,,,駐外外交領事人員任用條例施行細則,S0020008,,
,,,,,,駐外使領館組織條例,E0000003,,
,,,,,,駐外機構組織通則,E0000017,,
,,,,領事業務目,04003002,,,,
,,,,,,中華民國普通護照規費收費標準,E0030008,,
,,,,,,外交部及駐外館處文件證明條例,E0030012,,
,,,,,,外交部及駐外館處文件證明條例施行細則,E0030013,,
,,,,,,外交部及駐外館處辦理文件證明文書保存及銷毀規則,E0030014,,
,,,,,,外交部及駐外館處辦理領事事務文件證明收費標準,E0030010,,
,,,,,,外國護照簽證收費標準,E0030011,,
,,,,,,外國護照簽證條例,E0030002,,
,,,,,,外國護照簽證條例施行細則,E0030003,,
,,,,,,護照條例,E0030001,,
,,,,,,護照條例施行細則,E0030004,,
,,,,外交業務目,04003003,,,,
,,,,,,外交部專業獎章頒給辦法,E0010016,,
,,,,,,各國駐中華民國使館外交郵袋寄遞辦法,E0020004,,
,,,,,,各國駐華使領館及駐華外國機構聘僱外國人許可及管理辦法,E0020007,,
,,,,,,各機關團體派員參加及在國內舉辦國際會議準則,E0020001,,
,,,,,,國際合作發展事務人員派遣處理辦法,E0020017,,
,,,,,,國際合作發展事務技術協助及能力建構處理辦法,E0020014,,
,,,,,,國際合作發展事務捐款及實物贈與處理辦法,E0020016,,
,,,,,,國際合作發展事務規劃評估執行監督及績效考核辦法,E0020019,,
,,,,,,國際合作發展事務發展策略之諮商處理辦法,E0020018,,
,,,,,,國際合作發展事務貸款與投資及保證處理辦法,E0020015,,
,,,,,,國際合作發展法,E0020013,,
,,,,,,條約及協定處理準則,E0020006,,
,,,,,,駐外機構統一指揮辦法（102.06.07訂定）,E0020020,,
,,,,,,駐華外國機構及其人員特權暨豁免條例,E0020005,,
,,,,,,聯合國各組織及人員在華應享受之特權及豁免辦法,E0020002,,
,,,,國際發展目,04003004,,,,
,,,,,,財團法人國際合作發展基金會技術合作處理辦法,E0020009,,
,,,,,,財團法人國際合作發展基金會投資處理辦法,E0020012,,
,,,,,,財團法人國際合作發展基金會捐款及實物贈與處理辦法,E0020008,,
,,,,,,財團法人國際合作發展基金會貸款處理辦法,E0020010,,
,,,,,,財團法人國際合作發展基金會辦理民間業者赴有邦交國家投資授信保證處理辦法,E0020011,,
,,,,,,鼓勵業者赴有邦交國家投資補助辦法,J0040013,,
,,國防部,,,,,,,
