A0000001,	中華民國憲法,
A0000004,	訓政結束程序法,
A0010016,	中央研究院組織法,
A0010012,	中華民國總統府組織法,
A0010022,	國家安全局組織法,
A0010021,	國家安全會議組織法,
A0020041,	國家情報工作法,
A0010032,	行政院組織法,
A0030116,	千禧年資訊年序爭議處理法,
A0030133,	中央法規標準法,
D0050175,	消除對婦女一切形式歧視公約施行法,
A0030028,	國家安全法,
A0030020,	訴願法,
A0030019,	請願法,
J0170001,	消費者保護法,
E0000016,	外交部外交及國際事務學院組織法,
E0000001,	外交部組織法,
E0000015,	外交部領事事務局組織法,
E0020013,	國際合作發展法,
F0010030,	國防法,
F0000077,	國防部主計局組織法,
F0000078,	國防部政治作戰局組織法,
F0000075,	國防部軍備局組織法,
F0000076,	國防部軍醫局組織法,
F0000074,	國防部參謀本部組織法,
F0000001,	國防部組織法,
F0030013,	陸海空軍懲罰法,
F0040001,	兵役法,
F0040002,	兵役法施行法,
F0070013,	全民防衛動員準備法,
F0070002,	戒嚴法,
F0070001,	要塞堡壘地帶法,
F0080014,	全民國防教育法,
F0120008,	軍事審判法,
F0120009,	軍事審判法施行法,
F0120001,	陸海空軍刑法,
G0300055,	財政部財政資訊中心組織法,
G0300054,	財政部國有財產署組織法,
G0300051,	財政部國庫署組織法,
G0300001,	財政部組織法,
G0300052,	財政部賦稅署組織法,
G0300053,	財政部關務署組織法,
D0070062,	促進民間參與公共建設法,
G0360033,	公共債務法,
G0320001,	公庫法,
G0320015,	財政收支劃分法,
G0320003,	國庫法,
G0340107,	規費法,
G0330011,	菸酒管理法,
G0340096,	土地稅法,
G0340080,	加值型及非加值型營業稅法,
G0340091,	印花稅法,
G0340095,	使用牌照稅法,
G0340003,	所得稅法,
G0340106,	娛樂稅法,
G0340110,	記帳士法,
G0340001,	稅捐稽徵法,
G0330010,	菸酒稅法,
G0340072,	遺產及贈與稅法,
G0350001,	關稅法,
G0370001,	國有財產法,
H0000124,	國立公共資訊圖書館組織法,
H0000120,	國立自然科學博物館組織法,
H0000121,	國立科學工藝博物館組織法,
H0000119,	國立海洋生物博物館組織法,
H0000132,	國立海洋科技博物館組織法,
H0000123,	國立教育廣播電臺組織法,
H0000122,	國立臺灣科學教育館組織法,
H0000125,	國立臺灣圖書館組織法,
H0000100,	國家教育研究院組織法,
H0000118,	國家圖書館組織法,
H0000129,	教育部青年發展署組織法,
H0000117,	教育部國民及學前教育署組織法,
H0000001,	教育部組織法,
H0000116,	教育部體育署組織法,
H0020037,	原住民族教育法,
H0020045,	教育基本法,
T0020018,	教育經費編列與管理法,
H0020050,	學校衛生法,
H0020001,	私立學校法,
H0030001,	大學法,
H0030010,	學位授予法,
H0040001,	專科學校法,
H0080001,	社會教育法,
H0080050,	家庭教育法,
H0080048,	終身學習法,
H0080002,	補習及進修教育法,
H0010008,	圖書館法,
H0170037,	藝術教育法,
H0050001,	師資培育法,
H0020040,	教師法,
H0080067,	性別平等教育法,
H0080027,	特殊教育法,
H0070031,	幼兒教育及照顧法,
H0070007,	幼稚教育法,
H0060043,	高級中等教育法,
H0060042,	高級中等學校建教合作實施及建教生權益保障法,
H0060001,	高級中學法,
H0070001,	國民教育法,
H0040006,	職業學校法,
H0120001,	國民體育法,
I0000039,	法務部司法官學院組織法,
I0000034,	法務部行政執行署組織法,
I0000033,	法務部法醫研究所組織法,
I0000001,	法務部組織法,
I0000032,	法務部廉政署組織法,
I0000003,	法務部調查局組織法,
I0000024,	法務部矯正署組織法,
I0020028,	公民與政治權利國際公約及經濟社會文化權利國際公約施行法,
B0000001,	民法,
B0000004,	民法物權編施行法,
B0000003,	民法債編施行法,
B0000005,	民法親屬編施行法,
B0000002,	民法總則施行法,
B0000006,	民法繼承編施行法,
I0020001,	仲裁法,
A0030055,	行政程序法,
A0030210,	行政罰法,
I0020024,	信託法,
I0020026,	政府資訊公開法,
I0050021,	個人資料保護法,
I0020004,	國家賠償法,
C0000001,	中華民國刑法,
C0000002,	中華民國刑法施行法,
I0020006,	律師法,
G0380131,	洗錢防制法,
K0060044,	通訊保障及監察法,
A0030161,	證人保護法,
I0050005,	犯罪被害人保護法,
I0050001,	更生保護法,
I0030001,	引渡法,
I0030044,	跨國移交受刑人法,
A0030023,	行政執行法,
I0070008,	公職人員利益衝突迴避法,
I0070005,	公職人員財產申報法,
I0060003,	國家機密保護法,
I0030002,	保安處分執行法,
I0040001,	監獄行刑法,
I0040005,	羈押法,
I0010052,	法醫師法,
